,raceId,driverId,lap,position,time,milliseconds
802,989,1,1,1,1:34.233,94233
543,989,1,2,1,1:30.265,90265
440,989,1,3,1,1:29.809,89809
397,989,1,4,1,1:29.473,89473
365,989,1,5,1,1:29.161,89161
507,989,1,6,1,1:30.113,90113
484,989,1,7,1,1:30.020,90020
358,989,1,8,1,1:29.092,89092
356,989,1,9,1,1:29.070,89070
340,989,1,10,1,1:28.884,88884
337,989,1,11,1,1:28.861,88861
240,989,1,12,1,1:28.329,88329
287,989,1,13,1,1:28.535,88535
192,989,1,14,1,1:28.098,88098
221,989,1,15,1,1:28.248,88248
202,989,1,16,1,1:28.137,88137
128,989,1,17,1,1:27.753,87753
137,989,1,18,1,1:27.852,87852
837,989,1,19,2,1:45.050,105050
788,989,1,20,2,1:32.966,92966
151,989,1,21,2,1:27.954,87954
332,989,1,22,2,1:28.821,88821
217,989,1,23,2,1:28.228,88228
250,989,1,24,2,1:28.390,88390
309,989,1,25,2,1:28.681,88681
866,989,1,26,2,1:57.688,117688
911,989,1,27,2,2:07.130,127130
880,989,1,28,2,2:02.992,122992
925,989,1,29,2,2:13.148,133148
929,989,1,30,2,2:16.728,136728
933,989,1,31,2,2:17.887,137887
143,989,1,32,2,1:27.901,87901
160,989,1,33,2,1:27.976,87976
114,989,1,34,2,1:27.582,87582
45,989,1,35,2,1:27.043,87043
84,989,1,36,2,1:27.310,87310
104,989,1,37,2,1:27.481,87481
67,989,1,38,2,1:27.166,87166
28,989,1,39,2,1:26.889,86889
26,989,1,40,2,1:26.880,86880
22,989,1,41,2,1:26.843,86843
64,989,1,42,2,1:27.161,87161
27,989,1,43,2,1:26.882,86882
42,989,1,44,2,1:27.028,87028
29,989,1,45,2,1:26.898,86898
9,989,1,46,2,1:26.523,86523
357,989,1,47,2,1:29.084,89084
11,989,1,48,2,1:26.548,86548
14,989,1,49,2,1:26.656,86656
6,989,1,50,2,1:26.444,86444
13,989,1,51,2,1:26.647,86647
8,989,1,52,2,1:26.511,86511
130,989,1,53,2,1:27.778,87778
158,989,1,54,2,1:27.972,87972
131,989,1,55,2,1:27.801,87801
127,989,1,56,2,1:27.729,87729
184,989,1,57,2,1:28.048,88048
149,989,1,58,2,1:27.942,87942
824,989,4,1,10,1:41.528,101528
733,989,4,2,10,1:31.565,91565
709,989,4,3,10,1:31.304,91304
597,989,4,4,10,1:30.551,90551
750,989,4,5,10,1:31.910,91910
740,989,4,6,10,1:31.731,91731
693,989,4,7,10,1:31.167,91167
651,989,4,8,10,1:30.926,90926
567,989,4,9,10,1:30.407,90407
666,989,4,10,10,1:30.985,90985
642,989,4,11,10,1:30.872,90872
582,989,4,12,10,1:30.492,90492
522,989,4,13,10,1:30.171,90171
495,989,4,14,10,1:30.069,90069
585,989,4,15,10,1:30.501,90501
475,989,4,16,10,1:29.985,89985
544,989,4,17,10,1:30.266,90266
527,989,4,18,10,1:30.182,90182
411,989,4,19,10,1:29.597,89597
417,989,4,20,10,1:29.617,89617
449,989,4,21,9,1:29.865,89865
418,989,4,22,7,1:29.626,89626
328,989,4,23,7,1:28.803,88803
367,989,4,24,5,1:29.177,89177
362,989,4,25,5,1:29.137,89137
936,989,4,26,5,2:20.530,140530
921,989,4,27,6,2:10.157,130157
881,989,4,28,6,2:03.009,123009
853,989,4,29,6,1:49.309,109309
868,989,4,30,6,1:58.259,118259
923,989,4,31,5,2:12.005,132005
528,989,4,32,5,1:30.188,90188
355,989,4,33,5,1:29.043,89043
370,989,4,34,5,1:29.205,89205
300,989,4,35,5,1:28.627,88627
248,989,4,36,5,1:28.380,88380
263,989,4,37,5,1:28.451,88451
252,989,4,38,5,1:28.404,88404
205,989,4,39,5,1:28.162,88162
226,989,4,40,5,1:28.279,88279
188,989,4,41,5,1:28.080,88080
148,989,4,42,5,1:27.936,87936
176,989,4,43,5,1:28.020,88020
191,989,4,44,5,1:28.096,88096
208,989,4,45,5,1:28.174,88174
212,989,4,46,5,1:28.206,88206
167,989,4,47,5,1:27.994,87994
256,989,4,48,5,1:28.425,88425
147,989,4,49,5,1:27.920,87920
123,989,4,50,5,1:27.677,87677
88,989,4,51,5,1:27.351,87351
110,989,4,52,5,1:27.546,87546
100,989,4,53,5,1:27.425,87425
59,989,4,54,5,1:27.120,87120
63,989,4,55,5,1:27.154,87154
80,989,4,56,5,1:27.282,87282
35,989,4,57,5,1:26.978,86978
87,989,4,58,5,1:27.343,87343
805,989,8,1,2,1:35.474,95474
546,989,8,2,2,1:30.266,90266
448,989,8,3,2,1:29.856,89856
406,989,8,4,2,1:29.550,89550
433,989,8,5,2,1:29.740,89740
571,989,8,6,2,1:30.432,90432
469,989,8,7,2,1:29.944,89944
410,989,8,8,2,1:29.593,89593
352,989,8,9,2,1:29.003,89003
341,989,8,10,2,1:28.906,88906
271,989,8,11,2,1:28.485,88485
331,989,8,12,2,1:28.817,88817
257,989,8,13,2,1:28.429,88429
237,989,8,14,2,1:28.313,88313
264,989,8,15,2,1:28.457,88457
164,989,8,16,2,1:27.982,87982
214,989,8,17,2,1:28.216,88216
840,989,8,18,3,1:45.858,105858
773,989,8,19,3,1:32.537,92537
333,989,8,20,3,1:28.836,88836
323,989,8,21,3,1:28.763,88763
288,989,8,22,3,1:28.557,88557
314,989,8,23,3,1:28.704,88704
265,989,8,24,3,1:28.465,88465
320,989,8,25,3,1:28.751,88751
870,989,8,26,3,1:59.547,119547
906,989,8,27,3,2:05.438,125438
901,989,8,28,3,2:04.658,124658
912,989,8,29,3,2:07.864,127864
927,989,8,30,3,2:16.138,136138
932,989,8,31,3,2:17.278,137278
306,989,8,32,3,1:28.672,88672
189,989,8,33,3,1:28.082,88082
161,989,8,34,3,1:27.977,87977
126,989,8,35,3,1:27.719,87719
102,989,8,36,3,1:27.466,87466
118,989,8,37,3,1:27.633,87633
124,989,8,38,3,1:27.705,87705
97,989,8,39,3,1:27.406,87406
44,989,8,40,3,1:27.043,87043
69,989,8,41,3,1:27.180,87180
58,989,8,42,3,1:27.115,87115
53,989,8,43,3,1:27.088,87088
71,989,8,44,3,1:27.196,87196
46,989,8,45,3,1:27.044,87044
81,989,8,46,3,1:27.288,87288
90,989,8,47,3,1:27.366,87366
39,989,8,48,3,1:27.008,87008
86,989,8,49,3,1:27.324,87324
47,989,8,50,3,1:27.045,87045
95,989,8,51,3,1:27.396,87396
120,989,8,52,3,1:27.644,87644
21,989,8,53,3,1:26.811,86811
20,989,8,54,3,1:26.804,86804
4,989,8,55,3,1:26.381,86381
10,989,8,56,3,1:26.546,86546
3,989,8,57,3,1:26.373,86373
99,989,8,58,3,1:27.423,87423
808,989,20,1,3,1:36.194,96194
602,989,20,2,3,1:30.562,90562
526,989,20,3,3,1:30.177,90177
415,989,20,4,3,1:29.610,89610
405,989,20,5,3,1:29.540,89540
583,989,20,6,3,1:30.497,90497
525,989,20,7,3,1:30.177,90177
399,989,20,8,3,1:29.481,89481
389,989,20,9,3,1:29.375,89375
305,989,20,10,3,1:28.665,88665
353,989,20,11,3,1:29.025,89025
253,989,20,12,3,1:28.405,88405
359,989,20,13,3,1:29.109,89109
327,989,20,14,3,1:28.801,88801
310,989,20,15,3,1:28.685,88685
313,989,20,16,3,1:28.704,88704
295,989,20,17,3,1:28.596,88596
286,989,20,18,2,1:28.534,88534
272,989,20,19,1,1:28.488,88488
220,989,20,20,1,1:28.245,88245
289,989,20,21,1,1:28.561,88561
280,989,20,22,1,1:28.515,88515
346,989,20,23,1,1:28.954,88954
354,989,20,24,1,1:29.030,89030
325,989,20,25,1,1:28.787,88787
905,989,20,26,1,2:05.108,125108
917,989,20,27,1,2:09.347,129347
883,989,20,28,1,2:03.248,123248
924,989,20,29,1,2:13.109,133109
928,989,20,30,1,2:16.470,136470
934,989,20,31,1,2:18.857,138857
171,989,20,32,1,1:27.998,87998
142,989,20,33,1,1:27.889,87889
112,989,20,34,1,1:27.559,87559
56,989,20,35,1,1:27.100,87100
61,989,20,36,1,1:27.123,87123
68,989,20,37,1,1:27.175,87175
83,989,20,38,1,1:27.309,87309
32,989,20,39,1,1:26.947,86947
30,989,20,40,1,1:26.909,86909
31,989,20,41,1,1:26.946,86946
41,989,20,42,1,1:27.022,87022
24,989,20,43,1,1:26.872,86872
50,989,20,44,1,1:27.081,87081
18,989,20,45,1,1:26.785,86785
17,989,20,46,1,1:26.766,86766
38,989,20,47,1,1:26.997,86997
76,989,20,48,1,1:27.237,87237
52,989,20,49,1,1:27.084,87084
19,989,20,50,1,1:26.804,86804
12,989,20,51,1,1:26.604,86604
34,989,20,52,1,1:26.968,86968
7,989,20,53,1,1:26.469,86469
15,989,20,54,1,1:26.711,86711
36,989,20,55,1,1:26.983,86983
75,989,20,56,1,1:27.236,87236
37,989,20,57,1,1:26.990,86990
338,989,20,58,1,1:28.863,88863
818,989,154,1,6,1:38.450,98450
674,989,154,2,6,1:31.033,91033
688,989,154,3,6,1:31.150,91150
631,989,154,4,6,1:30.769,90769
623,989,154,5,6,1:30.694,90694
721,989,154,6,6,1:31.430,91430
647,989,154,7,6,1:30.898,90898
551,989,154,8,6,1:30.289,90289
460,989,154,9,6,1:29.914,89914
699,989,154,10,5,1:31.253,91253
419,989,154,11,5,1:29.628,89628
455,989,154,12,5,1:29.902,89902
429,989,154,13,5,1:29.713,89713
457,989,154,14,5,1:29.908,89908
538,989,154,15,5,1:30.250,90250
486,989,154,16,5,1:30.026,90026
459,989,154,17,5,1:29.913,89913
520,989,154,18,5,1:30.167,90167
547,989,154,19,5,1:30.274,90274
465,989,154,20,5,1:29.926,89926
416,989,154,21,5,1:29.613,89613
444,989,154,22,4,1:29.834,89834
329,989,154,23,4,1:28.805,88805
852,989,154,24,7,1:49.039,109039
821,989,807,1,7,1:39.077,99077
710,989,807,2,7,1:31.310,91310
680,989,807,3,7,1:31.081,91081
639,989,807,4,7,1:30.847,90847
781,989,807,5,8,1:32.858,92858
714,989,807,6,8,1:31.321,91321
588,989,807,7,8,1:30.514,90514
561,989,807,8,8,1:30.369,90369
474,989,807,9,8,1:29.970,89970
630,989,807,10,7,1:30.769,90769
471,989,807,11,7,1:29.947,89947
496,989,807,12,7,1:30.073,90073
510,989,807,13,7,1:30.126,90126
446,989,807,14,7,1:29.846,89846
581,989,807,15,7,1:30.490,90490
472,989,807,16,7,1:29.961,89961
501,989,807,17,7,1:30.092,90092
464,989,807,18,7,1:29.924,89924
479,989,807,19,7,1:30.007,90007
439,989,807,20,7,1:29.802,89802
443,989,807,21,7,1:29.833,89833
494,989,807,22,6,1:30.066,90066
438,989,807,23,6,1:29.799,89799
848,989,807,24,10,1:48.142,108142
834,989,807,25,8,1:43.870,103870
887,989,807,26,7,2:03.375,123375
892,989,807,27,7,2:04.016,124016
893,989,807,28,7,2:04.019,124019
835,989,807,29,7,1:44.227,104227
867,989,807,30,7,1:57.860,117860
922,989,807,31,7,2:10.750,130750
670,989,807,32,7,1:31.013,91013
387,989,807,33,7,1:29.359,89359
363,989,807,34,7,1:29.151,89151
301,989,807,35,7,1:28.632,88632
317,989,807,36,7,1:28.724,88724
258,989,807,37,7,1:28.434,88434
204,989,807,38,7,1:28.145,88145
186,989,807,39,7,1:28.078,88078
315,989,807,40,7,1:28.717,88717
133,989,807,41,7,1:27.821,87821
132,989,807,42,7,1:27.820,87820
157,989,807,43,7,1:27.971,87971
144,989,807,44,7,1:27.902,87902
216,989,807,45,7,1:28.220,88220
210,989,807,46,7,1:28.185,88185
169,989,807,47,7,1:27.997,87997
281,989,807,48,7,1:28.519,88519
159,989,807,49,7,1:27.974,87974
140,989,807,50,7,1:27.874,87874
107,989,807,51,7,1:27.532,87532
111,989,807,52,7,1:27.554,87554
109,989,807,53,7,1:27.535,87535
105,989,807,54,7,1:27.513,87513
77,989,807,55,7,1:27.259,87259
51,989,807,56,7,1:27.082,87082
49,989,807,57,7,1:27.081,87081
403,989,807,58,7,1:29.521,89521
827,989,815,1,12,1:42.341,102341
784,989,815,2,12,1:32.896,92896
756,989,815,3,12,1:32.004,92004
719,989,815,4,12,1:31.372,91372
691,989,815,5,12,1:31.160,91160
730,989,815,6,12,1:31.558,91558
746,989,815,7,12,1:31.838,91838
650,989,815,8,12,1:30.922,90922
641,989,815,9,12,1:30.859,90859
649,989,815,10,12,1:30.922,90922
570,989,815,11,12,1:30.419,90419
643,989,815,12,12,1:30.876,90876
601,989,815,13,12,1:30.560,90560
598,989,815,14,12,1:30.553,90553
587,989,815,15,12,1:30.511,90511
568,989,815,16,12,1:30.412,90412
562,989,815,17,12,1:30.380,90380
548,989,815,18,12,1:30.280,90280
616,989,815,19,12,1:30.653,90653
558,989,815,20,12,1:30.344,90344
619,989,815,21,11,1:30.665,90665
701,989,815,22,10,1:31.254,91254
537,989,815,23,9,1:30.241,90241
851,989,815,24,13,1:48.875,108875
855,989,815,25,11,1:50.397,110397
888,989,815,26,11,2:03.659,123659
895,989,815,27,11,2:04.224,124224
877,989,815,28,11,2:01.772,121772
820,989,815,29,11,1:39.003,99003
854,989,815,30,11,1:50.355,110355
902,989,815,31,11,2:04.778,124778
767,989,815,32,11,1:32.302,92302
530,989,815,33,11,1:30.192,90192
565,989,815,34,11,1:30.401,90401
394,989,815,35,11,1:29.421,89421
316,989,815,36,11,1:28.718,88718
361,989,815,37,11,1:29.125,89125
277,989,815,38,11,1:28.509,88509
245,989,815,39,11,1:28.353,88353
326,989,815,40,11,1:28.798,88798
230,989,815,41,11,1:28.286,88286
170,989,815,42,11,1:27.998,87998
207,989,815,43,11,1:28.169,88169
228,989,815,44,11,1:28.283,88283
260,989,815,45,11,1:28.439,88439
246,989,815,46,11,1:28.354,88354
227,989,815,47,11,1:28.282,88282
177,989,815,48,11,1:28.026,88026
173,989,815,49,11,1:28.006,88006
187,989,815,50,11,1:28.079,88079
117,989,815,51,11,1:27.633,87633
268,989,815,52,11,1:28.477,88477
249,989,815,53,11,1:28.381,88381
190,989,815,54,11,1:28.093,88093
229,989,815,55,11,1:28.284,88284
242,989,815,56,11,1:28.338,88338
136,989,815,57,11,1:27.850,87850
371,989,815,58,11,1:29.220,89220
822,989,817,1,8,1:39.600,99600
703,989,817,2,8,1:31.264,91264
692,989,817,3,8,1:31.162,91162
632,989,817,4,8,1:30.796,90796
738,989,817,5,7,1:31.690,91690
625,989,817,6,7,1:30.718,90718
600,989,817,7,7,1:30.559,90559
462,989,817,8,7,1:29.921,89921
422,989,817,9,7,1:29.654,89654
704,989,817,10,6,1:31.265,91265
412,989,817,11,6,1:29.605,89605
458,989,817,12,6,1:29.913,89913
426,989,817,13,6,1:29.684,89684
451,989,817,14,6,1:29.869,89869
555,989,817,15,6,1:30.310,90310
437,989,817,16,6,1:29.793,89793
529,989,817,17,6,1:30.190,90190
477,989,817,18,6,1:29.998,89998
533,989,817,19,6,1:30.222,90222
487,989,817,20,6,1:30.031,90031
414,989,817,21,6,1:29.608,89608
421,989,817,22,5,1:29.653,89653
384,989,817,23,5,1:29.328,89328
378,989,817,24,4,1:29.301,89301
199,989,817,25,4,1:28.127,88127
931,989,817,26,4,2:17.173,137173
918,989,817,27,4,2:09.560,129560
874,989,817,28,4,2:01.319,121319
865,989,817,29,4,1:56.632,116632
871,989,817,30,4,1:59.575,119575
930,989,817,31,4,2:16.895,136895
342,989,817,32,4,1:28.909,88909
165,989,817,33,4,1:27.984,87984
138,989,817,34,4,1:27.859,87859
146,989,817,35,4,1:27.907,87907
98,989,817,36,4,1:27.412,87412
101,989,817,37,4,1:27.444,87444
139,989,817,38,4,1:27.868,87868
108,989,817,39,4,1:27.534,87534
73,989,817,40,4,1:27.204,87204
57,989,817,41,4,1:27.110,87110
23,989,817,42,4,1:26.872,86872
103,989,817,43,4,1:27.478,87478
70,989,817,44,4,1:27.185,87185
66,989,817,45,4,1:27.166,87166
85,989,817,46,4,1:27.316,87316
93,989,817,47,4,1:27.392,87392
55,989,817,48,4,1:27.094,87094
106,989,817,49,4,1:27.527,87527
16,989,817,50,4,1:26.725,86725
116,989,817,51,4,1:27.606,87606
145,989,817,52,4,1:27.904,87904
89,989,817,53,4,1:27.355,87355
0,989,817,54,4,1:25.945,85945
1,989,817,55,4,1:26.165,86165
5,989,817,56,4,1:26.429,86429
2,989,817,57,4,1:26.348,86348
72,989,817,58,4,1:27.199,87199
832,989,822,1,15,1:43.824,103824
793,989,822,2,15,1:33.264,93264
775,989,822,3,15,1:32.580,92580
747,989,822,4,14,1:31.848,91848
726,989,822,5,14,1:31.530,91530
728,989,822,6,14,1:31.554,91554
679,989,822,7,14,1:31.057,91057
734,989,822,8,14,1:31.571,91571
629,989,822,9,13,1:30.756,90756
534,989,822,10,13,1:30.229,90229
478,989,822,11,13,1:30.003,90003
512,989,822,12,13,1:30.133,90133
503,989,822,13,13,1:30.097,90097
595,989,822,14,13,1:30.548,90548
618,989,822,15,13,1:30.661,90661
491,989,822,16,13,1:30.061,90061
593,989,822,17,13,1:30.537,90537
549,989,822,18,13,1:30.287,90287
673,989,822,19,13,1:31.023,91023
617,989,822,20,13,1:30.657,90657
431,989,822,21,12,1:29.729,89729
717,989,822,22,11,1:31.341,91341
541,989,822,23,10,1:30.258,90258
689,989,822,24,8,1:31.157,91157
844,989,822,25,9,1:46.549,106549
914,989,822,26,9,2:08.176,128176
897,989,822,27,9,2:04.496,124496
878,989,822,28,9,2:02.533,122533
830,989,822,29,9,1:43.421,103421
864,989,822,30,9,1:56.443,116443
916,989,822,31,9,2:08.943,128943
706,989,822,32,9,1:31.274,91274
436,989,822,33,9,1:29.773,89773
374,989,822,34,9,1:29.247,89247
279,989,822,35,8,1:28.515,88515
225,989,822,36,8,1:28.279,88279
200,989,822,37,8,1:28.130,88130
185,989,822,38,8,1:28.063,88063
241,989,822,39,8,1:28.336,88336
318,989,822,40,8,1:28.734,88734
155,989,822,41,8,1:27.969,87969
82,989,822,42,8,1:27.308,87308
182,989,822,43,8,1:28.047,88047
267,989,822,44,8,1:28.476,88476
296,989,822,45,8,1:28.599,88599
172,989,822,46,8,1:28.000,88000
60,989,822,47,8,1:27.123,87123
243,989,822,48,8,1:28.351,88351
292,989,822,49,8,1:28.574,88574
269,989,822,50,8,1:28.481,88481
113,989,822,51,8,1:27.572,87572
91,989,822,52,8,1:27.370,87370
78,989,822,53,8,1:27.264,87264
40,989,822,54,8,1:27.019,87019
79,989,822,55,8,1:27.275,87275
65,989,822,56,8,1:27.166,87166
154,989,822,57,8,1:27.965,87965
395,989,822,58,8,1:29.446,89446
811,989,825,1,4,1:37.107,97107
636,989,825,2,4,1:30.830,90830
697,989,825,3,4,1:31.235,91235
594,989,825,4,4,1:30.547,90547
590,989,825,5,4,1:30.518,90518
665,989,825,6,4,1:30.984,90984
604,989,825,7,4,1:30.577,90577
540,989,825,8,4,1:30.252,90252
575,989,825,9,4,1:30.445,90445
610,989,825,10,4,1:30.610,90610
584,989,825,11,4,1:30.500,90500
490,989,825,12,4,1:30.050,90050
508,989,825,13,4,1:30.115,90115
509,989,825,14,4,1:30.118,90118
505,989,825,15,4,1:30.104,90104
447,989,825,16,4,1:29.852,89852
576,989,825,17,4,1:30.446,90446
489,989,825,18,4,1:30.042,90042
564,989,825,19,4,1:30.391,90391
442,989,825,20,4,1:29.820,89820
404,989,825,21,4,1:29.534,89534
845,989,825,22,9,1:47.390,107390
836,989,828,1,16,1:44.674,104674
791,989,828,2,16,1:33.177,93177
780,989,828,3,16,1:32.746,92746
764,989,828,4,16,1:32.210,92210
766,989,828,5,16,1:32.289,92289
816,989,830,1,5,1:37.684,97684
656,989,830,2,5,1:30.942,90942
648,989,830,3,5,1:30.904,90904
634,989,830,4,5,1:30.812,90812
580,989,830,5,5,1:30.477,90477
702,989,830,6,5,1:31.259,91259
577,989,830,7,5,1:30.460,90460
539,989,830,8,5,1:30.251,90251
574,989,830,9,5,1:30.444,90444
810,989,830,10,8,1:36.502,96502
532,989,830,11,8,1:30.207,90207
497,989,830,12,8,1:30.074,90074
461,989,830,13,8,1:29.917,89917
420,989,830,14,8,1:29.650,89650
502,989,830,15,8,1:30.095,90095
476,989,830,16,8,1:29.988,89988
514,989,830,17,8,1:30.141,90141
483,989,830,18,8,1:30.015,90015
521,989,830,19,8,1:30.169,90169
467,989,830,20,8,1:29.941,89941
842,989,830,21,13,1:46.361,106361
795,989,830,22,13,1:33.466,93466
259,989,830,23,11,1:28.436,88436
152,989,830,24,9,1:27.955,87955
809,989,830,25,6,1:36.424,96424
873,989,830,26,6,2:01.221,121221
909,989,830,27,5,2:05.786,125786
884,989,830,28,5,2:03.267,123267
849,989,830,29,5,1:48.521,108521
869,989,830,30,5,1:58.528,118528
926,989,830,31,6,2:14.396,134396
545,989,830,32,6,1:30.266,90266
345,989,830,33,6,1:28.940,88940
372,989,830,34,6,1:29.221,89221
290,989,830,35,6,1:28.564,88564
238,989,830,36,6,1:28.315,88315
322,989,830,37,6,1:28.760,88760
213,989,830,38,6,1:28.210,88210
231,989,830,39,6,1:28.288,88288
219,989,830,40,6,1:28.244,88244
183,989,830,41,6,1:28.048,88048
175,989,830,42,6,1:28.015,88015
179,989,830,43,6,1:28.029,88029
163,989,830,44,6,1:27.980,87980
197,989,830,45,6,1:28.124,88124
270,989,830,46,6,1:28.482,88482
174,989,830,47,6,1:28.006,88006
244,989,830,48,6,1:28.352,88352
181,989,830,49,6,1:28.045,88045
119,989,830,50,6,1:27.635,87635
94,989,830,51,6,1:27.396,87396
96,989,830,52,6,1:27.403,87403
134,989,830,53,6,1:27.834,87834
25,989,830,54,6,1:26.880,86880
62,989,830,55,6,1:27.148,87148
48,989,830,56,6,1:27.062,87062
43,989,830,57,6,1:27.042,87042
121,989,830,58,6,1:27.646,87646
823,989,832,1,9,1:40.565,100565
715,989,832,2,9,1:31.322,91322
705,989,832,3,9,1:31.267,91267
620,989,832,4,9,1:30.672,90672
745,989,832,5,9,1:31.834,91834
744,989,832,6,9,1:31.816,91816
621,989,832,7,9,1:30.680,90680
608,989,832,8,9,1:30.596,90596
536,989,832,9,9,1:30.239,90239
757,989,832,10,9,1:32.039,92039
560,989,832,11,9,1:30.365,90365
559,989,832,12,9,1:30.344,90344
498,989,832,13,9,1:30.078,90078
554,989,832,14,9,1:30.309,90309
557,989,832,15,9,1:30.315,90315
517,989,832,16,9,1:30.164,90164
515,989,832,17,9,1:30.143,90143
485,989,832,18,9,1:30.023,90023
511,989,832,19,9,1:30.127,90127
432,989,832,20,9,1:29.739,89739
519,989,832,21,8,1:30.165,90165
862,989,832,22,15,1:55.942,115942
799,989,832,23,13,1:34.136,94136
294,989,832,24,12,1:28.586,88586
826,989,832,25,10,1:42.007,102007
882,989,832,26,10,2:03.195,123195
903,989,832,27,10,2:04.940,124940
904,989,832,28,10,2:05.043,125043
814,989,832,29,10,1:37.413,97413
861,989,832,30,10,1:55.171,115171
910,989,832,31,10,2:06.289,126289
755,989,832,32,10,1:31.990,91990
516,989,832,33,10,1:30.151,90151
423,989,832,34,10,1:29.662,89662
383,989,832,35,10,1:29.327,89327
311,989,832,36,10,1:28.688,88688
324,989,832,37,10,1:28.786,88786
339,989,832,38,10,1:28.867,88867
262,989,832,39,10,1:28.443,88443
276,989,832,40,10,1:28.503,88503
224,989,832,41,10,1:28.261,88261
236,989,832,42,10,1:28.306,88306
282,989,832,43,10,1:28.523,88523
235,989,832,44,10,1:28.303,88303
203,989,832,45,10,1:28.143,88143
274,989,832,46,10,1:28.493,88493
201,989,832,47,10,1:28.133,88133
211,989,832,48,10,1:28.193,88193
233,989,832,49,10,1:28.302,88302
178,989,832,50,10,1:28.027,88027
150,989,832,51,10,1:27.944,87944
261,989,832,52,10,1:28.441,88441
275,989,832,53,10,1:28.497,88497
206,989,832,54,10,1:28.164,88164
234,989,832,55,10,1:28.303,88303
193,989,832,56,10,1:28.104,88104
168,989,832,57,10,1:27.996,87996
344,989,832,58,10,1:28.931,88931
825,989,838,1,11,1:41.951,101951
761,989,838,2,11,1:32.173,92173
732,989,838,3,11,1:31.560,91560
640,989,838,4,11,1:30.857,90857
724,989,838,5,11,1:31.471,91471
753,989,838,6,11,1:31.963,91963
736,989,838,7,11,1:31.602,91602
677,989,838,8,11,1:31.048,91048
657,989,838,9,11,1:30.948,90948
606,989,838,10,11,1:30.591,90591
613,989,838,11,11,1:30.644,90644
633,989,838,12,11,1:30.807,90807
586,989,838,13,11,1:30.506,90506
553,989,838,14,11,1:30.308,90308
599,989,838,15,11,1:30.557,90557
492,989,838,16,11,1:30.063,90063
578,989,838,17,11,1:30.462,90462
524,989,838,18,11,1:30.176,90176
463,989,838,19,11,1:29.922,89922
452,989,838,20,11,1:29.890,89890
573,989,838,21,10,1:30.439,90439
752,989,838,22,8,1:31.943,91943
441,989,838,23,8,1:29.811,89811
579,989,838,24,6,1:30.471,90471
847,989,838,25,7,1:48.016,108016
913,989,838,26,8,2:07.933,127933
907,989,838,27,8,2:05.572,125572
886,989,838,28,8,2:03.341,123341
833,989,838,29,8,1:43.851,103851
863,989,838,30,8,1:56.005,116005
920,989,838,31,8,2:10.125,130125
687,989,838,32,8,1:31.149,91149
409,989,838,33,8,1:29.575,89575
396,989,838,34,8,1:29.462,89462
493,989,838,35,9,1:30.065,90065
283,989,838,36,9,1:28.532,88532
335,989,838,37,9,1:28.848,88848
266,989,838,38,9,1:28.474,88474
223,989,838,39,9,1:28.257,88257
247,989,838,40,9,1:28.355,88355
166,989,838,41,9,1:27.989,87989
135,989,838,42,9,1:27.838,87838
195,989,838,43,9,1:28.114,88114
180,989,838,44,9,1:28.038,88038
251,989,838,45,9,1:28.404,88404
141,989,838,46,9,1:27.888,87888
153,989,838,47,9,1:27.961,87961
129,989,838,48,9,1:27.778,87778
215,989,838,49,9,1:28.220,88220
162,989,838,50,9,1:27.979,87979
198,989,838,51,9,1:28.126,88126
194,989,838,52,9,1:28.110,88110
125,989,838,53,9,1:27.710,87710
74,989,838,54,9,1:27.220,87220
92,989,838,55,9,1:27.381,87381
54,989,838,56,9,1:27.091,87091
33,989,838,57,9,1:26.958,86958
122,989,838,58,9,1:27.676,87676
828,989,839,1,13,1:42.906,102906
786,989,839,2,13,1:32.955,92955
776,989,839,3,13,1:32.581,92581
751,989,839,4,13,1:31.912,91912
716,989,839,5,13,1:31.337,91337
749,989,839,6,13,1:31.906,91906
731,989,839,7,13,1:31.559,91559
729,989,839,8,13,1:31.556,91556
777,989,839,9,14,1:32.583,92583
723,989,839,10,14,1:31.446,91446
661,989,839,11,14,1:30.968,90968
614,989,839,12,14,1:30.647,90647
605,989,839,13,14,1:30.587,90587
591,989,839,14,14,1:30.520,90520
612,989,839,15,14,1:30.626,90626
627,989,839,16,14,1:30.720,90720
611,989,839,17,14,1:30.619,90619
609,989,839,18,14,1:30.604,90604
596,989,839,19,14,1:30.551,90551
535,989,839,20,14,1:30.231,90231
518,989,839,21,14,1:30.165,90165
624,989,839,22,12,1:30.709,90709
846,989,839,23,14,1:47.849,107849
801,989,839,24,14,1:34.226,94226
841,989,839,25,12,1:45.901,105901
894,989,839,26,12,2:04.185,124185
898,989,839,27,12,2:04.514,124514
876,989,839,28,12,2:01.686,121686
807,989,839,29,12,1:35.860,95860
856,989,839,30,12,1:50.723,110723
891,989,839,31,12,2:03.930,123930
770,989,839,32,12,1:32.448,92448
589,989,839,33,12,1:30.518,90518
552,989,839,34,12,1:30.298,90298
488,989,839,35,12,1:30.032,90032
390,989,839,36,12,1:29.387,89387
369,989,839,37,12,1:29.198,89198
319,989,839,38,12,1:28.747,88747
334,989,839,39,12,1:28.848,88848
297,989,839,40,12,1:28.600,88600
303,989,839,41,12,1:28.661,88661
293,989,839,42,12,1:28.582,88582
285,989,839,43,12,1:28.534,88534
330,989,839,44,12,1:28.816,88816
298,989,839,45,12,1:28.616,88616
380,989,839,46,12,1:29.304,89304
